iter	Passed	Remaining
683	714	329
684	714	328
685	716	327
686	717	327
687	719	326
688	721	325
689	721	324
690	722	323
691	723	322
692	724	321
693	725	320
694	726	318
695	727	317
696	728	316
697	730	315
698	731	315
699	733	314
700	734	313
701	736	312
702	737	311
703	737	310
704	738	309
705	739	307
706	740	306
707	741	305
708	742	304
709	743	303
710	744	302
711	745	301
712	747	300
713	749	300
714	750	299
715	751	297
716	752	296
717	753	295
718	754	294
719	755	293
720	755	292
721	756	291
722	757	290
723	759	289
724	761	288
725	762	287
726	764	286
727	765	286
728	766	285
729	768	284
730	769	283
731	770	282
732	771	280
733	772	279
734	772	278
735	774	277
736	776	277
737	778	276
738	778	275
739	779	273
740	780	272
741	781	271
742	782	270
743	783	269
744	784	268
745	785	267
746	786	266
747	788	265
748	790	264
749	791	263
750	793	263
751	795	262
752	796	261
753	796	259
754	797	258
755	798	257
756	800	256
757	800	255
758	801	254
759	802	253
760	805	252
761	807	252
762	808	251
763	809	250
764	810	249
765	811	247
766	812	246
767	813	245
768	814	244
769	814	243
770	815	242
771	817	241
772	818	240
773	820	239
774	821	238
775	823	237
776	824	236
777	825	235
778	826	234
779	828	233
780	829	232
781	830	231
782	831	230
783	832	229
784	834	228
785	835	227
786	836	226
787	838	225
788	840	224
789	841	223
790	842	222
791	843	221
792	845	220
793	846	219
794	846	218
795	848	217
796	849	216
797	852	215
798	853	214
799	854	213
800	854	212
801	855	211
802	856	210
803	857	209
804	858	207
805	859	206
806	860	205
807	861	204
808	861	203
809	863	202
810	865	201
811	866	200
812	867	199
813	868	198
814	868	197
815	869	196
816	870	195
817	871	193
818	872	192
819	872	191
820	873	190
821	874	189
822	875	188
823	876	187
824	877	186
825	881	185
826	884	185
827	888	184
828	891	183
829	901	184
830	903	183
831	907	183
832	914	183
833	915	182
834	918	181
835	920	180
836	922	179
837	924	178
838	926	177
839	929	177
840	931	176
841	933	175
842	935	174
843	937	173
844	943	173
845	945	172
846	947	171
847	950	170
848	951	169
849	954	168
850	957	167
851	959	166
852	960	165
853	962	164
854	965	163
855	967	162
856	971	162
857	974	161
858	976	160
859	978	159
860	979	158
861	981	157
862	984	156
863	986	155
864	991	154
865	995	154
866	997	152
867	1004	152
868	1007	151
869	1009	150
870	1010	149
871	1012	148
872	1013	147
873	1017	146
874	1019	145
875	1022	144
876	1023	143
877	1025	142
878	1026	141
879	1027	140
880	1030	139
881	1032	138
882	1034	137
883	1035	135
884	1036	134
885	1037	133
886	1038	132
887	1039	131
888	1040	129
889	1040	128
890	1041	127
891	1042	126
892	1043	125
893	1044	123
894	1046	122
895	1047	121
896	1048	120
897	1049	119
898	1050	118
899	1051	116
900	1052	115
901	1053	114
902	1053	113
903	1054	112
904	1055	110
905	1056	109
906	1057	108
907	1058	107
908	1059	106
909	1061	104
910	1062	103
911	1063	102
912	1064	101
913	1064	100
914	1065	99
915	1066	97
916	1067	96
917	1068	95
918	1069	94
919	1070	93
920	1072	91
921	1073	90
922	1075	89
923	1076	88
924	1078	87
925	1079	86
926	1080	85
927	1081	83
928	1082	82
929	1083	81
930	1084	80
931	1085	79
932	1086	77
933	1087	76
934	1090	75
935	1092	74
936	1094	73
937	1094	72
938	1095	71
939	1096	69
940	1097	68
941	1098	67
942	1099	66
943	1100	65
944	1101	64
945	1102	62
946	1104	61
947	1105	60
948	1106	59
949	1107	58
950	1108	57
951	1109	55
952	1110	54
953	1111	53
954	1112	52
955	1113	51
956	1114	50
957	1115	48
958	1116	47
959	1119	46
960	1121	45
961	1123	44
962	1125	43
963	1127	42
964	1129	40
965	1130	39
966	1131	38
967	1132	37
968	1135	36
969	1136	35
970	1137	33
971	1138	32
972	1139	31
973	1140	30
974	1141	29
975	1143	28
976	1144	26
977	1144	25
978	1145	24
979	1146	23
980	1148	22
981	1149	21
982	1150	19
983	1152	18
984	1152	17
985	1153	16
986	1154	15
987	1155	14
988	1156	12
989	1157	11
990	1158	10
991	1159	9
992	1160	8
993	1161	7
994	1164	5
995	1165	4
996	1167	3
997	1168	2
998	1169	1
999	1170	0
